,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',6
3,'2000-04-01',7
4,'2000-05-01',10
5,'2000-06-01',11
6,'2000-07-01',13
7,'2000-08-01',13
8,'2000-09-01',15
9,'2000-10-01',16
10,'2000-11-01',16
11,'2000-12-01',16
12,'2001-01-01',17
13,'2001-02-01',21
14,'2001-03-01',20
15,'2001-04-01',21
16,'2001-05-01',18
17,'2001-06-01',17
18,'2001-07-01',15
19,'2001-08-01',14
20,'2001-09-01',12
21,'2001-10-01',13
22,'2001-11-01',13
23,'2001-12-01',13
24,'2002-01-01',13
25,'2002-02-01',13
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',11
29,'2002-06-01',15
30,'2002-07-01',15
31,'2002-08-01',16
32,'2002-09-01',17
33,'2002-10-01',17
34,'2002-11-01',19
35,'2002-12-01',18
36,'2003-01-01',17
37,'2003-02-01',18
38,'2003-03-01',23
39,'2003-04-01',24
40,'2003-05-01',27
41,'2003-06-01',25
42,'2003-07-01',25
43,'2003-08-01',23
44,'2003-09-01',24
45,'2003-10-01',24
46,'2003-11-01',25
47,'2003-12-01',25
48,'2004-01-01',25
49,'2004-02-01',25
50,'2004-03-01',28
51,'2004-04-01',28
52,'2004-05-01',27
53,'2004-06-01',27
54,'2004-07-01',28
55,'2004-08-01',28
56,'2004-09-01',32
57,'2004-10-01',35
58,'2004-11-01',38
59,'2004-12-01',37
60,'2005-01-01',41
61,'2005-02-01',49
62,'2005-03-01',54
63,'2005-04-01',56
64,'2005-05-01',56
65,'2005-06-01',58
66,'2005-07-01',61
67,'2005-08-01',63
68,'2005-09-01',73
69,'2005-10-01',81
70,'2005-11-01',90
71,'2005-12-01',101
72,'2006-01-01',106
73,'2006-02-01',116
74,'2006-03-01',127
75,'2006-04-01',135
76,'2006-05-01',150
77,'2006-06-01',166
78,'2006-07-01',178
79,'2006-08-01',188
80,'2006-09-01',210
81,'2006-10-01',225
82,'2006-11-01',248
83,'2006-12-01',258
