user,tool,start,end,ip,lon,lat,cluster,scanned_date,user_meet_class_size_min,DBSCAN
aisyahareena,1dfdmht,2016-03-15,2016-03-19,129.59.122.19,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
azfarhadee,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
connor,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
enochsjd,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
fabianchibuzor,1dfdmht,2016-03-15,2016-03-19,129.59.122.18,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
fieldsmb,1dfdmht,2016-03-15,2016-03-19,129.59.122.22,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
flurphurpadur,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
gw014425,1dfdmht,2016-03-14,2016-03-19,129.59.78.92,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
hboyles13,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
huanz,1dfdmht,2016-03-15,2016-03-19,129.59.122.54,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
izaninn,1dfdmht,2016-03-15,2016-03-19,129.59.122.20,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
malonemk,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
matradmz,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
mchlglllnd,1dfdmht,2016-03-15,2016-03-19,129.59.122.14,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
mdridzka,1dfdmht,2016-03-15,2016-03-19,129.59.122.51,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
mohamadhafiz43,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
pralhlad.arumugam,1dfdmht,2016-03-14,2016-03-19,129.59.122.52,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
reneeneel,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
ricardoherrerac,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
taylor.a.gutierrez,1dfdmht,2016-03-15,2016-03-19,129.59.122.24,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
trenton_is,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
valentjg,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
villattj,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
zokrins,1dfdmht,2016-03-15,2016-03-19,129.59.122.24,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
zulkipas,1dfdmht,2016-03-15,2016-03-19,129.59.122.14,-86.79199981689453,36.1515007019043,0,2016-03-15,True,-1
aisyahareena,1dfdmht,2016-03-15,2016-03-19,129.59.122.19,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
azfarhadee,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
connor,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
enochsjd,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
fabianchibuzor,1dfdmht,2016-03-15,2016-03-19,129.59.122.18,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
fieldsmb,1dfdmht,2016-03-15,2016-03-19,129.59.122.22,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
flurphurpadur,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
gw014425,1dfdmht,2016-03-14,2016-03-19,129.59.78.92,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
hboyles13,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
huanz,1dfdmht,2016-03-15,2016-03-19,129.59.122.54,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
izaninn,1dfdmht,2016-03-15,2016-03-19,129.59.122.20,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
malonemk,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
matradmz,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-16,True,-1
